iter	Passed	Remaining
0	0	78
1	2	101
2	2	92
3	3	88
4	4	85
5	5	81
6	5	79
7	6	77
8	7	75
9	8	75
10	9	73
11	9	72
12	10	71
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	14	63
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	25	48
35	26	47
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
